,0
appetizer,415
arabic,25
batair,13
bbq,46
beef,75
beef burger,140
beef kabab,45
beef steak,63
beef wrap,6
biryani,57
breakfast,134
burger,174
burrito,23
cake,138
calamari,16
chaat,21
chicken,556
chicken boti,146
chicken burger,338
chicken gravy,81
chicken kabab,111
chicken roast,31
chicken steak,95
chicken tikka,61
chicken wings,172
chinese,677
coffee,291
cold coffee,103
crepes,22
dessert,376
detox juice,26
drink,422
drum sticks,37
duck,4
fish,402
fish burger,23
frappe,40
fresh juice,55
fries,221
gola,18
handi,162
hummus,7
ice cream,129
ice cream shake,66
ice tea,24
japanese,88
karahi,119
lamb,23
lassi,13
lemonade,36
lobster,5
margarita,36
masala,85
mutton,109
mutton gravy,13
mutton kabab,25
mutton tikka,5
naan,242
nachos,17
nihari,13
noodles,244
pancakes,27
panini,43
paratha,101
paratha roll,201
pasta,234
pizza,824
popcorn,5
prawns,288
qeema,12
quesadilla,10
rice,310
salad,327
samosa,4
sandwich,422
seafood,31
shake,179
shawarma,103
shrimp,52
slush,5
smoothie,102
soup,390
steak,113
tea,136
thai,47
thai curry,105
vegetable curry,51
vegetables,50
waffles,20
wrap,65
